Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,5800100.00,8253800.00,7689921.89,6814279.18,6814279.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,27000.00,27000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,1326200.00,2145618.41,1675055.74,1627079.19,1627079.19,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,1300000.00,1833000.00,218895.44,218895.44,218895.44,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,1690865.85,4281465.85,3978412.87,1122273.53,1122273.53,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,14437775.60,16468980.87,14946180.23,14822518.20,14822518.20,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,495000.00,545000.00,524955.04,524955.04,524955.04,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,114000.00,124281.04,77989.80,73312.69,73312.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,1600000.00,1600000.00,1318408.03,1309951.95,1309951.95,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Previdência Social,690000.00,735000.00,705611.80,705611.80,705611.80,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,313292.70,140292.70,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,1451000.00,2824000.00,2122182.95,1841866.84,1841866.84,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,15933765.85,19346451.37,17742655.75,17223689.31,17223689.31,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,1001000.00,1232500.00,1111237.95,1096307.26,1096307.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,1240000.00,1514800.00,1410469.41,1342752.38,1342752.38,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,2080000.00,6302000.00,3929079.15,2968945.88,2968945.88,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,49500000.00,67374190.24,57451056.05,51692438.69,51692438.69,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3556909&no_anexo=RREO-Anexo%2002&co_poder=E
