ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2019,3205309,Vitória,VITÓRIA - ES,201928990022,RICARDO FERRACO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"218.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,SANTA VITÓRIA DO PALMAR - RS,201936610017,HENRIQUE FONTANA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"250.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,UNIÃO DA VITÓRIA - PR,201928440018,LEOPOLDO MEYER,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"300.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DO JARI - AP,201926750009,PROFESSORA MARCIVANIA,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"370.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DA CONQUISTA - BA,201927510010,WALDENOR PEREIRA,,,Emenda Individual - Transferências com Finalidade Definida,Urbanismo,infra-estrutura urbana,"460.387,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DO JARI - AP,201930600021,CABUCU BORGES,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DE SANTO ANTÃO - PE,201927210020,JORGE CORTE REAL,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DO JARI - AP,201930600022,CABUCU BORGES,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DA CONQUISTA - BA,201934870016,IRMAO LAZARO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DO MEARIM - MA,201923240004,JOAO ALBERTO SOUZA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"1.188.808,00","1.188.808,00","1.188.808,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,3205309,Vitória,VITÓRIA DO MEARIM - MA,201923240007,JOAO ALBERTO SOUZA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"200,00","200,00","200,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
