Funcao,Dotacao_Inicial,Dotacao_Atualizada,Empenhado,Liquidado,Exceto_Intra_Liquidado,Intra_Liquidado,Fonte_URL
Administração,14423525.44,20074239.58,19446531.38,19376496.85,19376496.85,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Agricultura,48500.00,11600.00,2131.21,2131.21,2131.21,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Assistência Social,2420896.00,4539784.92,4097030.74,4094696.15,4094696.15,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Comércio e Serviços,10000.00,4000.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Cultura,137364.00,564514.00,540716.79,540100.45,540100.45,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Desporto e Lazer,717106.00,513496.00,499277.28,497837.75,497837.75,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Educação,36564910.05,48105293.30,39718425.67,39718425.67,39718425.67,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Encargos Especiais,1935504.56,3844583.06,3804617.85,3433644.26,3433644.26,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Gestão Ambiental,26000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Legislativa,2439000.00,2439000.00,2325389.84,2038634.18,2038634.18,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Reserva de Contingência,1000000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Saneamento,3113500.00,2299390.00,2126840.58,2126840.58,2126840.58,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Saúde,14782082.00,19845349.20,17497353.48,17454358.61,17454358.61,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Segurança Pública,8000.00,0.00,0.00,0.00,0.00,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Transporte,3514200.00,4013530.59,3671206.16,3671136.16,3671136.16,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
Urbanismo,7007523.00,8463501.02,5415651.17,5415651.17,5415651.17,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
TOTAL,88148111.05,114718281.67,99145172.15,98369953.04,98369953.04,0.00,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=2933505&no_anexo=RREO-Anexo%2002&co_poder=E
